"EntityName"	"DepartmentSubdivision"	"count"	"medianOT"	"medianTotalPay"
"All Counties"	"AC Central Collections"	36	0	59558
"All Counties"	"ACERA"	89	0	74838
"All Counties"	"Adult and Aging Services"	512	0	56461
"All Counties"	"Agency Administration"	343	0	57387
"All Counties"	"Agency Director & Asst Director"	2	0	145179
"All Counties"	"Aging"	11	0	83895
"All Counties"	"Art Commission"	4	0	64651.5
"All Counties"	"Assessor"	173	0	57845
"All Counties"	"Auditor-Controller Office"	97	0	67619
"All Counties"	"Auditor-Controller Recorder"	74	0	57515.5
"All Counties"	"BHCS Grants"	3	0	84689
"All Counties"	"Board wide"	2	0	65152
"All Counties"	"Building Maintenance"	148	353.5	72099
"All Counties"	"CAL ID -Alameda Co"	10	6319	58787.5
"All Counties"	"CDA-Agency Admin & Finance"	21	0	77495
"All Counties"	"CDA-Agriculture Commissioner"	7	0	56892
"All Counties"	"CDA-Construction Department"	4	0	131103
"All Counties"	"CDA-Lead"	10	0	65114
"All Counties"	"CDA-Sealer of Weight & Msres"	8	0	66569.5
"All Counties"	"CDA Agri Weights Grts"	36	0	45949.5
"All Counties"	"CDA Housing and Community Dev"	11	0	78758
"All Counties"	"CDA Housing Grants"	5	0	78330
"All Counties"	"CDA LPPP Grants"	4	0	96551
"All Counties"	"Child Support Services"	230	0	57009
"All Counties"	"Children and Family Services"	554	0	74923
"All Counties"	"CO Admstr-Clerk Of The Board"	25	0	5400
"All Counties"	"Co Wide-Animal Control"	13	1335	48951
"All Counties"	"Co Wide-Civil"	25	2415	59037
"All Counties"	"Co Wide-Coroner-Pub Admstr"	32	6848.5	107177
"All Counties"	"Co Wide-Crime Lab"	32	130	90447.5
"All Counties"	"Co Wide-OES"	14	494.5	109943.5
"All Counties"	"Communications"	1	5738	47614
"All Counties"	"Coop Extension"	1	0	12995
"All Counties"	"County Administrator's Office"	23	0	86356
"All Counties"	"County Administrator-EDAB"	8	0	76037.5
"All Counties"	"County Counsel"	55	0	138381
"All Counties"	"County Library"	293	0	24615
"All Counties"	"Court Services"	129	4520	102657
"All Counties"	"Det & Corr-Glenn E Dyer Fac"	148	9751	78353.5
"All Counties"	"Det & Corr-Jail Support"	57	11305	114092
"All Counties"	"Det & Corr-Sta Rita Jail"	497	9656	85373
"All Counties"	"Development Services"	41	0	86831
"All Counties"	"District Attorney"	385	0	82294
"All Counties"	"Employee Benefits Center"	16	0	74361
"All Counties"	"Engineering and Construction"	80	0	84782.5
"All Counties"	"Environmental Hlth Svcs"	94	0	81410.5
"All Counties"	"Environmental Hth Proj Grants"	6	1057.5	86569.5
"All Counties"	"Family Justice Center"	7	0	45196
"All Counties"	"Fire District - ALACO"	1	0	42010
"All Counties"	"Flood Control Zone 7"	113	0	102389
"All Counties"	"Grand Jury"	2	0	115740
"All Counties"	"GSA-Parking Facilities"	4	67	39547.5
"All Counties"	"GSA-Property & Salvage"	14	0	37879.5
"All Counties"	"GSA-Purchasing"	43	0	61418
"All Counties"	"GSA-Veterans' Memorial Bldg"	4	0	1560
"All Counties"	"GSA Admin/Ops Support"	27	0	76693
"All Counties"	"HCSA-Behavioral Care"	543	0	73573
"All Counties"	"HCSA Administration"	27	0	64496
"All Counties"	"HCSA Human Resources"	15	0	66254
"All Counties"	"Health Prot CSA EM-1983-1"	31	0	78545
