"EntityName"	"DepartmentSubdivision"	"count"	"medianOT"	"medianTotalPay"
"Alameda"	"AC Central Collections"	36	0	59558
"Alameda"	"ACERA"	89	0	74838
"Alameda"	"Adult and Aging Services"	512	0	56461
"Alameda"	"Agency Administration"	343	0	57387
"Alameda"	"Agency Director & Asst Director"	2	0	145179
"Alameda"	"Aging"	11	0	83895
"Alameda"	"Art Commission"	4	0	64651.5
"Alameda"	"Assessor"	173	0	57845
"Alameda"	"Auditor-Controller Office"	97	0	67619
"Alameda"	"Auditor-Controller Recorder"	74	0	57515.5
"Alameda"	"BHCS Grants"	3	0	84689
"Alameda"	"Board wide"	2	0	65152
"Alameda"	"Building Maintenance"	148	353.5	72099
"Alameda"	"CAL ID -Alameda Co"	10	6319	58787.5
"Alameda"	"CDA-Agency Admin & Finance"	21	0	77495
"Alameda"	"CDA-Agriculture Commissioner"	7	0	56892
"Alameda"	"CDA-Construction Department"	4	0	131103
"Alameda"	"CDA-Lead"	10	0	65114
"Alameda"	"CDA-Sealer of Weight & Msres"	8	0	66569.5
"Alameda"	"CDA Agri Weights Grts"	36	0	45949.5
"Alameda"	"CDA Housing and Community Dev"	11	0	78758
"Alameda"	"CDA Housing Grants"	5	0	78330
"Alameda"	"CDA LPPP Grants"	4	0	96551
"Alameda"	"Child Support Services"	230	0	57009
"Alameda"	"Children and Family Services"	554	0	74923
"Alameda"	"CO Admstr-Clerk Of The Board"	25	0	5400
"Alameda"	"Co Wide-Animal Control"	13	1335	48951
"Alameda"	"Co Wide-Civil"	25	2415	59037
"Alameda"	"Co Wide-Coroner-Pub Admstr"	32	6848.5	107177
"Alameda"	"Co Wide-Crime Lab"	32	130	90447.5
"Alameda"	"Co Wide-OES"	14	494.5	109943.5
"Alameda"	"Communications"	1	5738	47614
"Alameda"	"Coop Extension"	1	0	12995
"Alameda"	"County Administrator's Office"	23	0	86356
"Alameda"	"County Administrator-EDAB"	8	0	76037.5
"Alameda"	"County Counsel"	55	0	138381
"Alameda"	"County Library"	293	0	24615
"Alameda"	"Court Services"	129	4520	102657
"Alameda"	"Det & Corr-Glenn E Dyer Fac"	148	9751	78353.5
"Alameda"	"Det & Corr-Jail Support"	57	11305	114092
"Alameda"	"Det & Corr-Sta Rita Jail"	497	9656	85373
"Alameda"	"Development Services"	41	0	86831
"Alameda"	"District Attorney"	385	0	82294
"Alameda"	"Employee Benefits Center"	16	0	74361
"Alameda"	"Engineering and Construction"	80	0	84782.5
"Alameda"	"Environmental Hlth Svcs"	94	0	81410.5
"Alameda"	"Environmental Hth Proj Grants"	6	1057.5	86569.5
"Alameda"	"Family Justice Center"	7	0	45196
"Alameda"	"Fire District - ALACO"	1	0	42010
"Alameda"	"Flood Control Zone 7"	113	0	102389
"Alameda"	"Grand Jury"	2	0	115740
